epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
79,617.24,0.40987,0.47089,0.66979,1.03512,0.78404,1,0.97,0.81087,0.78404,1,0.97,0.8705,0.47835,0.48349,0.8002,1.36558,0.000325526,0.000325526,0.000325526
80,623.988,0.44221,0.58533,0.71903,1.05831,0.78776,1,0.97,0.85073,0.78776,1,0.97,0.95023,0.44093,0.57009,0.9883,1.37839,0.000311379,0.000311379,0.000311379
81,631.707,0.40623,0.48963,0.72609,1.04612,0.82736,1,0.97,0.89063,0.82736,1,0.97,0.77042,0.44331,1.27089,0.76535,1.46245,0.000297232,0.000297232,0.000297232
82,639.039,0.4441,0.53433,0.70332,1.07022,0.81034,1,0.97,0.87972,0.81034,1,0.97,0.85992,0.543,1.20009,1.0961,1.64827,0.000283085,0.000283085,0.000283085
83,646.243,0.4545,0.56239,0.67297,1.08337,0.83799,0.5,0.97,0.8797,0.83799,0.5,0.97,0.81012,0.60419,1.29917,1.2957,1.74694,0.000268938,0.000268938,0.000268938
84,653.772,0.46494,0.51756,0.69174,1.10485,0.85079,0.5,0.97,0.8797,0.85079,0.5,0.97,0.86979,0.56784,1.19595,1.31385,1.69248,0.000254791,0.000254791,0.000254791
85,660.657,0.41293,0.46169,0.67489,1.01086,0.84998,0.5,0.97,0.87973,0.84998,0.5,0.97,0.86983,0.53847,0.87584,1.40147,1.5835,0.000240644,0.000240644,0.000240644
86,668.429,0.39685,0.50332,0.63789,1.02792,1,0.48542,0.995,0.97331,1,0.48542,0.995,0.995,0.37885,0.37975,1.10966,1.26861,0.000226497,0.000226497,0.000226497
87,675.591,0.35889,0.44981,0.61117,1.01696,0.81806,1,0.995,0.92359,0.81806,1,0.995,0.94525,0.35605,0.32393,0.78189,1.24483,0.000212349,0.000212349,0.000212349
88,683.604,0.39737,0.49834,0.64262,1.03557,0.94068,1,0.995,0.93292,0.94068,1,0.995,0.94525,0.41979,0.43244,0.67927,1.29815,0.000198202,0.000198202,0.000198202
89,690.3,0.32973,0.4799,0.55245,0.98556,0.90443,1,0.995,0.93293,0.90443,1,0.995,0.8955,0.48325,0.52283,0.71544,1.35994,0.000184055,0.000184055,0.000184055
90,697.53,0.37237,0.45075,0.58857,1.01253,0.8303,1,0.995,0.9298,0.8303,1,0.995,0.8955,0.50151,0.60449,0.74763,1.40665,0.000169908,0.000169908,0.000169908
