                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     57,                 0.3446,                0.39944,                0.91878,                0.95847,                0.94286,                0.98157,                0.93163,                  0.353,                0.40424,                0.93783,              0.0008912,              0.0008912,              0.0008912
                     58,                0.33565,                0.37121,                0.91722,                0.91754,                  0.954,                0.98923,                0.94702,                0.31665,                0.35396,                0.91765,              0.0008714,              0.0008714,              0.0008714
                     59,                 0.3365,                0.39932,                0.91757,                      1,                0.98259,                  0.995,                 0.9605,                0.29043,                 0.2583,                0.89196,              0.0008516,              0.0008516,              0.0008516
                     60,                  0.328,                0.39048,                0.91375,                      1,                0.96814,                 0.9925,                0.95629,                0.29994,                 0.3078,                0.90215,              0.0008318,              0.0008318,              0.0008318
                     61,                0.32178,                0.36675,                0.91906,                0.96644,                      1,                0.99194,                0.95654,                0.29014,                0.27018,                0.90419,               0.000812,               0.000812,               0.000812
                     62,                  0.323,                0.37065,                0.91559,                0.97045,                0.93836,                0.98944,                0.95828,                0.29982,                0.40533,                0.90795,              0.0007922,              0.0007922,              0.0007922
                     63,                0.32023,                0.37554,                0.91147,                      1,                0.90695,                 0.9868,                  0.954,                0.29139,                0.35371,                0.89325,              0.0007724,              0.0007724,              0.0007724
                     64,                0.32288,                0.36294,                0.91029,                      1,                0.91982,                0.98667,                0.92629,                0.30934,                0.48156,                0.90749,              0.0007526,              0.0007526,              0.0007526
                     65,                0.30883,                0.36283,                0.90999,                0.96761,                0.91429,                 0.9778,                0.95755,                 0.2941,                0.40152,                0.89978,              0.0007328,              0.0007328,              0.0007328
                     66,                0.32419,                0.36077,                0.91962,                0.94237,                      1,                0.99141,                0.95937,                0.28495,                 0.2622,                0.90589,               0.000713,               0.000713,               0.000713
                     67,                0.32539,                0.36653,                0.91187,                0.96485,                0.88571,                0.97769,                0.93114,                0.35686,                0.36054,                0.94139,              0.0006932,              0.0006932,              0.0006932
                     68,                0.32135,                0.34749,                0.90351,                0.93997,                      1,                0.99306,                0.97578,                0.28624,                0.23912,                0.89432,              0.0006734,              0.0006734,              0.0006734
                     69,                0.32168,                0.34591,                0.91361,                0.94397,                 0.9629,                0.98842,                0.95953,                0.29521,                0.33345,                0.89616,              0.0006536,              0.0006536,              0.0006536
                     70,                0.31189,                 0.3515,                0.91761,                      1,                0.88097,                0.98425,                0.93284,                0.34189,                0.41477,                0.92685,              0.0006338,              0.0006338,              0.0006338
                     71,                0.31888,                0.32853,                0.90279,                0.97141,                0.97083,                0.99361,                0.97611,                0.27546,                0.29288,                0.89518,               0.000614,               0.000614,               0.000614
                     72,                0.29776,                0.32361,                0.90041,                      1,                0.87908,                 0.9923,                0.97504,                0.28415,                0.54903,                0.89899,              0.0005942,              0.0005942,              0.0005942
                     73,                0.31328,                0.32405,                0.91542,                0.96795,                      1,                  0.995,                0.96881,                0.30217,                0.24337,                0.90404,              0.0005744,              0.0005744,              0.0005744
                     74,                0.31037,                 0.3391,                0.90662,                      1,                0.89877,                0.99079,                0.97278,                0.26945,                0.46904,                0.88949,              0.0005546,              0.0005546,              0.0005546
                     75,                0.30019,                 0.3339,                0.91184,                      1,                0.93913,                0.99392,                0.97773,                0.27754,                 0.3455,                0.89437,              0.0005348,              0.0005348,              0.0005348
                     76,                  0.307,                0.32501,                0.90912,                0.99567,                0.97143,                0.99444,                0.97862,                0.28158,                0.22131,                0.89464,               0.000515,               0.000515,               0.000515
                     77,                0.29633,                0.31839,                0.90707,                0.97219,                0.99899,                0.99278,                0.96742,                0.28241,                0.19072,                0.89543,              0.0004952,              0.0004952,              0.0004952
                     78,                0.30187,                0.31518,                0.89856,                 0.9443,                0.96876,                0.98952,                0.94587,                0.31138,                0.30052,                0.91296,              0.0004754,              0.0004754,              0.0004754
                     79,                0.30191,                0.30617,                0.89898,                      1,                 0.9096,                0.98724,                0.97671,                0.28735,                0.39313,                0.89454,              0.0004556,              0.0004556,              0.0004556
                     80,                0.28757,                0.31948,                0.90336,                      1,                0.96707,                0.99392,                0.97095,                  0.284,                0.21326,                0.89728,              0.0004358,              0.0004358,              0.0004358
                     81,                0.29203,                0.30621,                0.90209,                0.97204,                0.99342,                0.99444,                0.97857,                0.28181,                0.29592,                0.89171,               0.000416,               0.000416,               0.000416
                     82,                 0.2935,                0.30103,                0.91161,                0.97097,                0.95592,                0.99079,                0.97142,                0.26813,                0.30507,                0.88321,              0.0003962,              0.0003962,              0.0003962
                     83,                 0.2907,                0.29404,                0.89646,                0.97053,                0.94103,                0.98708,                0.97625,                0.27885,                0.31306,                0.89146,              0.0003764,              0.0003764,              0.0003764
                     84,                0.29027,                0.29083,                0.90174,                0.94442,                0.97103,                0.98977,                0.95639,                0.30308,                0.29625,                 0.9138,              0.0003566,              0.0003566,              0.0003566
                     85,                0.29658,                0.29216,                0.89727,                0.97046,                0.93861,                0.98646,                 0.9766,                0.26384,                0.37387,                0.88233,              0.0003368,              0.0003368,              0.0003368
                     86,                0.28386,                0.29658,                0.89347,                0.97059,                0.94278,                0.99123,                 0.9674,                0.27445,                0.27012,                0.88917,               0.000317,               0.000317,               0.000317
                     87,                0.29824,                 0.3215,                0.90731,                0.99628,                0.91429,                0.98301,                0.97054,                 0.2713,                0.37699,                0.88965,              0.0002972,              0.0002972,              0.0002972
                     88,                0.28798,                0.26999,                0.89532,                0.97051,                0.94035,                0.98452,                0.97284,                0.27954,                0.29484,                0.88885,              0.0002774,              0.0002774,              0.0002774
                     89,                0.28869,                0.29812,                0.89968,                      1,                0.91205,                 0.9868,                0.95708,                0.28303,                0.47732,                 0.8925,              0.0002576,              0.0002576,              0.0002576
                     90,                0.27876,                 0.2833,                0.90294,                0.97132,                 0.9679,                0.99085,                0.98097,                0.26712,                 0.2841,                0.88551,              0.0002378,              0.0002378,              0.0002378
                     91,                0.26618,                0.20936,                0.86637,                0.96787,                0.94286,                0.98504,                0.95537,                0.29573,                0.32811,                0.89525,               0.000218,               0.000218,               0.000218
                     92,                0.25821,                0.19857,                0.87513,                0.97049,                 0.9397,                0.98058,                0.96545,                0.27556,                0.31702,                0.88545,              0.0001982,              0.0001982,              0.0001982
                     93,                0.24497,                0.19901,                0.86882,                0.99813,                0.91429,                0.97147,                0.95542,                0.26817,                0.34099,                0.88354,              0.0001784,              0.0001784,              0.0001784
                     94,                0.25553,                0.20729,                  0.872,                0.99915,                0.91429,                0.97117,                0.95488,                0.26619,                0.38447,                0.88184,              0.0001586,              0.0001586,              0.0001586
                     95,                0.24264,                0.18781,                  0.855,                0.96729,                0.94286,                0.98308,                0.96871,                0.26566,                 0.3172,                0.88029,              0.0001388,              0.0001388,              0.0001388
                     96,                 0.2409,                0.17536,                0.86127,                0.96901,                0.94286,                0.97655,                0.96084,                 0.2722,                0.32799,                0.88597,               0.000119,               0.000119,               0.000119
                     97,                0.24318,                0.17051,                0.85792,                0.96901,                0.94286,                0.97362,                0.96065,                0.26732,                0.30738,                 0.8821,               9.92e-05,               9.92e-05,               9.92e-05
                     98,                0.23855,                0.16292,                0.84559,                 0.9767,                0.94286,                0.97457,                0.96428,                0.26327,                0.31154,                 0.8811,               7.94e-05,               7.94e-05,               7.94e-05
                     99,                0.23663,                0.15794,                0.84949,                0.96883,                0.94286,                0.96444,                0.95536,                0.26658,                0.32219,                0.88169,               5.96e-05,               5.96e-05,               5.96e-05
                    100,                0.23408,                0.15976,                  0.852,                0.96834,                0.94286,                0.96614,                 0.9563,                0.26735,                0.32456,                0.88348,               3.98e-05,               3.98e-05,               3.98e-05
